run_id,evidence_status,target,model,framework,implementation_id,feature_set,feature_count,fold,seed,training_seconds,prediction_seconds,epochs,MAE,RMSE,sMAPE,nMAE,nRMSE
P10-wind-mlp-C_calendar_lags-F02-S2025,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F02,2025,0.10599160000037955,0.0,12,560.2254,617.0102561951462,111.6775,1.1044775,1.2164280900857727
P10-wind-mlp-C_calendar_lags-F02-S31415,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F02,31415,0.1023696000002019,0.0,12,608.6801,670.3176019619357,113.00429,1.2000053,1.3215228630616838
P10-wind-mlp-E_full-F02-S42,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F02,42,0.11165239999991172,0.0,12,604.7628,660.1634030677557,113.57057,1.1922824,1.3015039855095223
P10-wind-mlp-E_full-F02-S123,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F02,123,0.0480996000005689,0.0,5,647.6811,695.5961472003709,116.10488,1.2768953,1.3713592024025507
P10-wind-mlp-E_full-F02-S2020,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F02,2020,0.044916400000147405,0.0,5,570.2917,632.203734962077,113.654366,1.124323,1.2463818455908853
P10-wind-mlp-E_full-F02-S2025,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F02,2025,0.11427800000001298,0.0,12,575.21295,634.6259479015966,112.432,1.1340252,1.2511572084478508
P10-wind-mlp-E_full-F02-S31415,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F02,31415,0.11110629999984667,0.0,12,584.4256,642.0468246163982,111.918465,1.1521878,1.2657873751238695
P10-wind-hist_gradient_boosting-A_calendar_only-F03-S42,VALID,wind,hist_gradient_boosting,sklearn,SKLEARN_HIST_GRADIENT_BOOSTING_REGRESSOR,A_calendar_only,6,F03,42,0.6186508999999205,0.00499870000021474,N/A,280.5998037281359,422.70802612788594,103.7905955418978,0.8914085431012992,1.342857481443428
P10-wind-hist_gradient_boosting-B_lags_only-F03-S42,VALID,wind,hist_gradient_boosting,sklearn,SKLEARN_HIST_GRADIENT_BOOSTING_REGRESSOR,B_lags_only,3,F03,42,0.5975800999995045,0.00733589999981632,N/A,491.8507185379195,550.4180853972066,119.01680656913742,1.5625097616247956,1.7485663820203627
P10-wind-hist_gradient_boosting-C_calendar_lags-F03-S42,VALID,wind,hist_gradient_boosting,sklearn,SKLEARN_HIST_GRADIENT_BOOSTING_REGRESSOR,C_calendar_lags,9,F03,42,0.6522777999998652,0.005755399999543442,N/A,298.8345248969746,423.4875148646725,106.1303219374581,0.9493365459545068,1.3453337587251326
P10-wind-hist_gradient_boosting-D_calendar_lags_rolling-F03-S42,VALID,wind,hist_gradient_boosting,sklearn,SKLEARN_HIST_GRADIENT_BOOSTING_REGRESSOR,D_calendar_lags_rolling,11,F03,42,0.6661949999997887,0.007069899999805784,N/A,293.1039801696409,416.44678473970777,105.73562793814229,0.9311317701182465,1.3229667901824709
P10-wind-hist_gradient_boosting-E_full-F03-S42,VALID,wind,hist_gradient_boosting,sklearn,SKLEARN_HIST_GRADIENT_BOOSTING_REGRESSOR,E_full,12,F03,42,0.7013574000002336,0.006462399999691115,N/A,287.75255835588166,418.55473832080577,104.92943901751396,0.914131390719744,1.3296633302572898
P10-wind-mlp-A_calendar_only-F03-S42,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F03,42,0.13773540000056528,0.0,12,483.85193,534.763528346876,118.92801,1.5370992,1.6988350361401228
P10-wind-mlp-A_calendar_only-F03-S123,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F03,123,0.13845880000008037,0.0,12,588.55176,642.3821633186899,123.79913,1.8697093,2.040717565408464
P10-wind-mlp-A_calendar_only-F03-S2020,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F03,2020,0.13634610000008252,0.0,12,648.22424,706.6151710797045,126.35563,2.0592766,2.2447727753783746
P10-wind-mlp-A_calendar_only-F03-S2025,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F03,2025,0.1359056999999666,0.0,12,708.94025,769.4177993782051,128.63751,2.252159,2.444283960527808
P10-wind-mlp-A_calendar_only-F03-S31415,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F03,31415,0.1341564999993352,0.0,12,621.73456,680.3155517846112,124.766846,1.9751242,2.1612242304097835
P10-wind-mlp-C_calendar_lags-F03-S42,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F03,42,0.13767430000007153,0.0,12,494.75253,541.4390836003622,119.47104,1.5717282,1.7200419183397546
P10-wind-mlp-C_calendar_lags-F03-S123,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F03,123,0.1329753999998502,0.0,12,469.60443,522.0005387928254,117.953316,1.4918377,1.658289612469705
P10-wind-mlp-C_calendar_lags-F03-S2020,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F03,2020,0.1364194999996471,0.0,12,539.98096,595.369895527142,121.0194,1.7154098,1.8913691461182127
P10-wind-mlp-C_calendar_lags-F03-S2025,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F03,2025,0.05624729999999545,0.0,5,437.279,486.49030051995896,117.34715,1.3891464,1.54548080311407
P10-wind-mlp-C_calendar_lags-F03-S31415,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F03,31415,0.1346144999997705,0.0,12,595.22784,656.4731049327154,123.936554,1.8909178,2.0854816228603843
P10-wind-mlp-E_full-F03-S42,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F03,42,0.12534670000059123,0.0,12,447.14755,489.4186602490755,117.68879,1.4204968,1.5547836067694047
P10-wind-mlp-E_full-F03-S123,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F03,123,0.05653540000002977,0.0,5,573.93256,629.6827574263091,122.772316,1.823267,2.000374134107467
P10-wind-mlp-E_full-F03-S2020,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F03,2020,0.05536400000073627,0.0,5,451.08682,501.979005412577,117.770454,1.433011,1.594685270399555
P10-wind-mlp-E_full-F03-S2025,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F03,2025,0.13227910000023257,0.0,12,429.3703,471.63310024848766,116.772385,1.3640221,1.498282497653429
P10-wind-mlp-E_full-F03-S31415,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F03,31415,0.130901300000005,0.0,12,484.89233,536.3016583509694,118.947464,1.5404043,1.7037213625303498
P10-wind-hist_gradient_boosting-A_calendar_only-F04-S42,VALID,wind,hist_gradient_boosting,sklearn,SKLEARN_HIST_GRADIENT_BOOSTING_REGRESSOR,A_calendar_only,6,F04,42,0.663180000000466,0.006606099999771686,N/A,368.6281832781294,500.3964413737376,101.00793632928085,0.8850119221923719,1.2013645090838299
P10-wind-hist_gradient_boosting-B_lags_only-F04-S42,VALID,wind,hist_gradient_boosting,sklearn,SKLEARN_HIST_GRADIENT_BOOSTING_REGRESSOR,B_lags_only,3,F04,42,0.6009175999997751,0.005552900000111549,N/A,467.1190165832959,554.1525248416579,109.41176400188638,1.121471220899784,1.3304234821021317
P10-wind-hist_gradient_boosting-C_calendar_lags-F04-S42,VALID,wind,hist_gradient_boosting,sklearn,SKLEARN_HIST_GRADIENT_BOOSTING_REGRESSOR,C_calendar_lags,9,F04,42,0.6428077000000485,0.006837299999460811,N/A,389.9389038338252,508.4709555128136,103.68579498535108,0.936175242355743,1.220750008085683
P10-wind-hist_gradient_boosting-D_calendar_lags_rolling-F04-S42,VALID,wind,hist_gradient_boosting,sklearn,SKLEARN_HIST_GRADIENT_BOOSTING_REGRESSOR,D_calendar_lags_rolling,11,F04,42,0.6843916999996509,0.005954600000222854,N/A,390.2652538863758,504.1556436644558,102.63200498462129,0.9369587518659137,1.2103896975966364
P10-wind-hist_gradient_boosting-E_full-F04-S42,VALID,wind,hist_gradient_boosting,sklearn,SKLEARN_HIST_GRADIENT_BOOSTING_REGRESSOR,E_full,12,F04,42,0.6919496999998955,0.0067920999999842024,N/A,394.1439346264333,507.66185643069764,102.98009465532374,0.9462707872800342,1.2188075024217382
P10-wind-mlp-A_calendar_only-F04-S42,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F04,42,0.15765040000042063,0.0,12,404.61176,499.7792168798138,104.29109,0.9714022,1.1998826608134834
P10-wind-mlp-A_calendar_only-F04-S123,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F04,123,0.15865039999971486,0.0,12,436.3124,515.0753282287941,106.49649,1.0475099,1.236605954151084
P10-wind-mlp-A_calendar_only-F04-S2020,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F04,2020,0.15753210000002582,0.0,12,437.8892,516.8124659874218,107.57597,1.0512955,1.2407765186836284
P10-wind-mlp-A_calendar_only-F04-S2025,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F04,2025,0.1559237999999823,0.0,12,487.1758,551.553714519266,110.86124,1.1696241,1.324184192153164
